date_morning,food_category,food_item,supply_intake,unit,food_origin,provided_by
2016-01-20,Vegetables,-,5459,(picul),-,Vegetable Marketing Organization
2016-01-20,Vegetables,-,10808,(picul),-,Government Wholesale Markets
2016-01-20,Eggs,-,314e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-21,Livestock / Poultry,Live pig,4140,(head),Mainland,Food and Environmental Hygiene Department
2016-01-21,Livestock / Poultry,Live pig,235,(head),Local,Food and Environmental Hygiene Department
2016-01-21,Livestock / Poultry,Live cattle,42,(head),Mainland,Food and Environmental Hygiene Department
2016-01-21,Livestock / Poultry,Live chicken,12234,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-21,Marine fish,-,1437,(picul),-,Fish Marketing Organization
2016-01-21,Freshwater fish,-,3075,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-21,Vegetables,-,5231,(picul),-,Vegetable Marketing Organization
2016-01-21,Vegetables,-,11732,(picul),-,Government Wholesale Markets
2016-01-21,Eggs,-,378e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-22,Livestock / Poultry,Live pig,4137,(head),Mainland,Food and Environmental Hygiene Department
2016-01-22,Livestock / Poultry,Live pig,243,(head),Local,Food and Environmental Hygiene Department
2016-01-22,Livestock / Poultry,Live cattle,54,(head),Mainland,Food and Environmental Hygiene Department
2016-01-22,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-22,Livestock / Poultry,Live chicken,13670,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-22,Marine fish,-,1318,(picul),-,Fish Marketing Organization
2016-01-22,Freshwater fish,-,2930,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-22,Vegetables,-,4905,(picul),-,Vegetable Marketing Organization
2016-01-22,Vegetables,-,10263,(picul),-,Government Wholesale Markets
2016-01-22,Eggs,-,484e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-23,Livestock / Poultry,Live pig,4070,(head),Mainland,Food and Environmental Hygiene Department
2016-01-23,Livestock / Poultry,Live pig,241,(head),Local,Food and Environmental Hygiene Department
2016-01-23,Livestock / Poultry,Live cattle,44,(head),Mainland,Food and Environmental Hygiene Department
2016-01-23,Livestock / Poultry,Live chicken,10650,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-23,Marine fish,-,978,(picul),-,Fish Marketing Organization
2016-01-23,Freshwater fish,-,3290,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-23,Vegetables,-,4981,(picul),-,Vegetable Marketing Organization
2016-01-23,Vegetables,-,10296,(picul),-,Government Wholesale Markets
2016-01-23,Eggs,-,256e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
