food_category,food_item,supply_intake,unit,data_from,food_origin,supplier,date_reported,price_this_morning
Livestock / Poultry,Live pig,333,(head),(Yesterday),Local,Food and Environmental Hygiene Department,4/1/2016,NA
Livestock / Poultry,Live cattle,37,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,4/1/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,4/1/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,4/1/2016,NA
Livestock / Poultry,Live chicken,9450,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,4/1/2016,NA
Marine fish,-,1725,(picul),(Yesterday),-,Fish Marketing Organization,4/1/2016,NA
Freshwater fish,-,2669,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,4/1/2016,NA
Vegetables,-,5234,(picul),(Yesterday),-,Vegetable Marketing Organization,4/1/2016,NA
Vegetables,-,9059,(picul),(Yesterday),-,Government Wholesale Markets,4/1/2016,NA
Eggs,-,0,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,4/1/2016,NA
Livestock / Poultry,Live pig,5165,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,5/1/2016,NA
Livestock / Poultry,Live pig,230,(head),(Yesterday),Local,Food and Environmental Hygiene Department,5/1/2016,NA
Livestock / Poultry,Live cattle,41,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,5/1/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,5/1/2016,NA
Livestock / Poultry,Live chicken,2000,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,5/1/2016,NA
Livestock / Poultry,Live chicken,10195,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,5/1/2016,NA
Marine fish,-,1897,(picul),(Yesterday),-,Fish Marketing Organization,5/1/2016,NA
Freshwater fish,-,2875,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,5/1/2016,NA
Vegetables,-,5622,(picul),(Yesterday),-,Vegetable Marketing Organization,5/1/2016,NA
Vegetables,-,11468,(picul),(Yesterday),-,Government Wholesale Markets,5/1/2016,NA
Eggs,-,3840000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,5/1/2016,NA
Livestock / Poultry,Live pig,4740,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,6/1/2016,NA
Livestock / Poultry,Live pig,226,(head),(Yesterday),Local,Food and Environmental Hygiene Department,6/1/2016,NA
Livestock / Poultry,Live cattle,68,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,6/1/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,6/1/2016,NA
