food_category,food_item,price_morning,unit,data_from,food_origin,supplier,date_reported,supply_intake
Vegetables,White Cabbage,4.4,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,1/1/2016,NA
Vegetables,Chinese Lettuce,4.3,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,1/1/2016,NA
Vegetables,Chrysanthemum Garland,7.3,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,1/1/2016,NA
Vegetables,Chinese Kale,4.8,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,1/1/2016,NA
Vegetables,European Celery,8.7,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,1/1/2016,NA
Vegetables,Potato,3.8,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,1/1/2016,NA
Vegetables,Spinach,6.8,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,1/1/2016,NA
Vegetables,Water Cress,5.7,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,1/1/2016,NA
Vegetables,Broccoli,8.8,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,1/1/2016,NA
Vegetables,Green Cabbage,4.6,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,1/1/2016,NA
Vegetables,Tomato,5.0,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,1/1/2016,NA
Vegetables,Pea Shoot,25.2,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,1/1/2016,NA
Eggs,Brown-shelled egg (medium) Mainland,0.69,($ / Egg),(Yesterday),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,1/1/2016,NA
Eggs,Grade II brown-shelled egg Germany (360/box),-,($ / Egg),(Yesterday),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,1/1/2016,NA
Eggs,Brown-shelled egg (medium) USA,0.86,($ / Egg),(Yesterday),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,1/1/2016,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock / Poultry,Live pig,1334.0,($ / Picul),(Yesterday),-,Slaughterhouses,2/1/2016,NA
Livestock / Poultry,Live cattle,Not yet supplied,($ / Picul),(Yesterday),-,Ng Fung Hong,2/1/2016,NA
Livestock / Poultry,Live chicken,41.5,($ / Catty),(Yesterday),Mainland,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market,2/1/2016,NA
Livestock / Poultry,Live chicken,41.5,($ / Catty),(Yesterday),Local,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market,2/1/2016,NA
Marine fish,Golden thread,53.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,2/1/2016,NA
Marine fish,Horse head,38.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,2/1/2016,NA
Marine fish,Yellow croaker,31.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,2/1/2016,NA
Marine fish,Big eyes,52.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,2/1/2016,NA
Marine fish,Scads,16.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,2/1/2016,NA
Marine fish,Breams,53.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,2/1/2016,NA
Marine fish,Hairtail,37.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,2/1/2016,NA
Marine fish,Mackerel,49.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,2/1/2016,NA
Marine fish,Croakers,17.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,2/1/2016,NA
Marine fish,Filefish,31.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,2/1/2016,NA
Freshwater fish,Grass carp,16.7,($ / Catty),(Yesterday),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,2/1/2016,NA
Freshwater fish,Big head,16.8,($ / Catty),(Yesterday),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,2/1/2016,NA
