date_morning,food_category,food_item,unit,food_origin,provided_by,price_morning
2015-12-30,Vegetables,Water Cress,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,5.9
2015-12-30,Vegetables,Broccoli,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,8.9
2015-12-30,Vegetables,Green Cabbage,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,4.6
2015-12-30,Vegetables,Tomato,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,5
2015-12-30,Vegetables,Pea Shoot,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,23.9
2015-12-30,Eggs,Brown-shelled egg (medium) Mainland,($ / Egg),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,0.69
2015-12-30,Eggs,Brown-shelled egg (medium) USA,($ / Egg),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,0.86
2015-12-31,Livestock / Poultry,Live pig,($ / Picul),-,Slaughterhouses,1250
2015-12-31,Livestock / Poultry,Live chicken,($ / Catty),Local,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market,41.5
2015-12-31,Freshwater fish,Grass carp,($ / Catty),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,16
2015-12-31,Freshwater fish,Big head,($ / Catty),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,16.3
2015-12-31,Freshwater fish,Mud carp,($ / Catty),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,18.4
2015-12-31,Vegetables,Flowering Cabbage,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,4.2
2015-12-31,Vegetables,White Cabbage,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,4.4
2015-12-31,Vegetables,Chinese Lettuce,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,4.3
2015-12-31,Vegetables,Chrysanthemum Garland,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,7.3
2015-12-31,Vegetables,Chinese Kale,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,4.8
2015-12-31,Vegetables,European Celery,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,8.7
2015-12-31,Vegetables,Potato,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,3.8
2015-12-31,Vegetables,Spinach,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,6.8
2015-12-31,Vegetables,Water Cress,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,5.7
2015-12-31,Vegetables,Broccoli,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,8.8
2015-12-31,Vegetables,Green Cabbage,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,4.6
2015-12-31,Vegetables,Tomato,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,5
2015-12-31,Vegetables,Pea Shoot,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,25.2
2015-12-31,Eggs,Brown-shelled egg (medium) Mainland,($ / Egg),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,0.69
2015-12-31,Eggs,Brown-shelled egg (medium) USA,($ / Egg),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,0.86
2016-01-01,Livestock / Poultry,Live pig,($ / Picul),-,Slaughterhouses,1334
2016-01-01,Livestock / Poultry,Live chicken,($ / Catty),Mainland,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market,41.5
2016-01-01,Livestock / Poultry,Live chicken,($ / Catty),Local,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market,41.5
2016-01-01,Marine fish,Golden thread,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,53
2016-01-01,Marine fish,Horse head,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,38
2016-01-01,Marine fish,Yellow croaker,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,31
2016-01-01,Marine fish,Big eyes,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,52
2016-01-01,Marine fish,Scads,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,16
2016-01-01,Marine fish,Breams,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,53
2016-01-01,Marine fish,Hairtail,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,37
2016-01-01,Marine fish,Mackerel,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,49
2016-01-01,Marine fish,Croakers,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,17
2016-01-01,Marine fish,Filefish,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,31
2016-01-01,Freshwater fish,Grass carp,($ / Catty),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,16.7
2016-01-01,Freshwater fish,Big head,($ / Catty),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,16.8
2016-01-01,Freshwater fish,Mud carp,($ / Catty),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,18.3
