date_morning,food_category,food_item,supply_intake,unit,food_origin,provided_by
2016-01-17,Vegetables,NA,4721,(picul),NA,Vegetable Marketing Organization
2016-01-17,Vegetables,NA,9603,(picul),NA,Government Wholesale Markets
2016-01-18,Livestock / Poultry,Live pig,4482,(head),Mainland,Food and Environmental Hygiene Department
2016-01-18,Livestock / Poultry,Live pig,254,(head),Local,Food and Environmental Hygiene Department
2016-01-18,Livestock / Poultry,Live cattle,72,(head),Mainland,Food and Environmental Hygiene Department
2016-01-18,Livestock / Poultry,Live chicken,12245,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-18,Marine fish,NA,1578,(picul),NA,Fish Marketing Organization
2016-01-18,Freshwater fish,NA,3683,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-18,Vegetables,NA,5390,(picul),NA,Vegetable Marketing Organization
2016-01-18,Vegetables,NA,10973,(picul),NA,Government Wholesale Markets
2016-01-18,Eggs,NA,328e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-19,Livestock / Poultry,Live pig,4235,(head),Mainland,Food and Environmental Hygiene Department
2016-01-19,Livestock / Poultry,Live pig,222,(head),Local,Food and Environmental Hygiene Department
2016-01-19,Livestock / Poultry,Live cattle,63,(head),Mainland,Food and Environmental Hygiene Department
2016-01-19,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-19,Livestock / Poultry,Live chicken,12100,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-19,Marine fish,NA,1741,(picul),NA,Fish Marketing Organization
2016-01-19,Freshwater fish,NA,3004,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-19,Vegetables,NA,5428,(picul),NA,Vegetable Marketing Organization
2016-01-19,Vegetables,NA,11649,(picul),NA,Government Wholesale Markets
2016-01-19,Eggs,NA,454e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-20,Livestock / Poultry,Live pig,4317,(head),Mainland,Food and Environmental Hygiene Department
2016-01-20,Livestock / Poultry,Live pig,214,(head),Local,Food and Environmental Hygiene Department
2016-01-20,Livestock / Poultry,Live cattle,46,(head),Mainland,Food and Environmental Hygiene Department
2016-01-20,Livestock / Poultry,Live chicken,10294,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-20,Marine fish,NA,1598,(picul),NA,Fish Marketing Organization
2016-01-20,Freshwater fish,NA,3081,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-20,Vegetables,NA,5459,(picul),NA,Vegetable Marketing Organization
2016-01-20,Vegetables,NA,10808,(picul),NA,Government Wholesale Markets
2016-01-20,Eggs,NA,314e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-21,Livestock / Poultry,Live pig,4140,(head),Mainland,Food and Environmental Hygiene Department
2016-01-21,Livestock / Poultry,Live pig,235,(head),Local,Food and Environmental Hygiene Department
2016-01-21,Livestock / Poultry,Live cattle,42,(head),Mainland,Food and Environmental Hygiene Department
2016-01-21,Livestock / Poultry,Live chicken,12234,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-21,Marine fish,NA,1437,(picul),NA,Fish Marketing Organization
2016-01-21,Freshwater fish,NA,3075,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-21,Vegetables,NA,5231,(picul),NA,Vegetable Marketing Organization
2016-01-21,Vegetables,NA,11732,(picul),NA,Government Wholesale Markets
2016-01-21,Eggs,NA,378e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-22,Livestock / Poultry,Live pig,4137,(head),Mainland,Food and Environmental Hygiene Department
2016-01-22,Livestock / Poultry,Live pig,243,(head),Local,Food and Environmental Hygiene Department
2016-01-22,Livestock / Poultry,Live cattle,54,(head),Mainland,Food and Environmental Hygiene Department
2016-01-22,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-22,Livestock / Poultry,Live chicken,13670,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-22,Marine fish,NA,1318,(picul),NA,Fish Marketing Organization
2016-01-22,Freshwater fish,NA,2930,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-22,Vegetables,NA,4905,(picul),NA,Vegetable Marketing Organization
2016-01-22,Vegetables,NA,10263,(picul),NA,Government Wholesale Markets
2016-01-22,Eggs,NA,484e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-23,Livestock / Poultry,Live pig,4070,(head),Mainland,Food and Environmental Hygiene Department
2016-01-23,Livestock / Poultry,Live pig,241,(head),Local,Food and Environmental Hygiene Department
2016-01-23,Livestock / Poultry,Live cattle,44,(head),Mainland,Food and Environmental Hygiene Department
2016-01-23,Livestock / Poultry,Live chicken,10650,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-23,Marine fish,NA,978,(picul),NA,Fish Marketing Organization
2016-01-23,Freshwater fish,NA,3290,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-23,Vegetables,NA,4981,(picul),NA,Vegetable Marketing Organization
2016-01-23,Vegetables,NA,10296,(picul),NA,Government Wholesale Markets
2016-01-23,Eggs,NA,256e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-24,Livestock / Poultry,Live pig,4750,(head),Mainland,Food and Environmental Hygiene Department
2016-01-24,Livestock / Poultry,Live pig,267,(head),Local,Food and Environmental Hygiene Department
2016-01-24,Livestock / Poultry,Live cattle,70,(head),Mainland,Food and Environmental Hygiene Department
2016-01-24,Livestock / Poultry,Live chicken,10130,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-24,Marine fish,NA,815,(picul),NA,Fish Marketing Organization
2016-01-24,Freshwater fish,NA,3011,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-24,Vegetables,NA,4690,(picul),NA,Vegetable Marketing Organization
2016-01-24,Vegetables,NA,7607,(picul),NA,Government Wholesale Markets
2016-01-24,Eggs,NA,16e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-25,Livestock / Poultry,Live pig,4564,(head),Mainland,Food and Environmental Hygiene Department
2016-01-25,Livestock / Poultry,Live pig,250,(head),Local,Food and Environmental Hygiene Department
2016-01-25,Livestock / Poultry,Live cattle,88,(head),Mainland,Food and Environmental Hygiene Department
2016-01-25,Livestock / Poultry,Live chicken,11050,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-25,Marine fish,NA,1146,(picul),NA,Fish Marketing Organization
2016-01-25,Freshwater fish,NA,2808,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-25,Vegetables,NA,5091,(picul),NA,Vegetable Marketing Organization
2016-01-25,Vegetables,NA,11369,(picul),NA,Government Wholesale Markets
2016-01-25,Eggs,NA,512e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-26,Livestock / Poultry,Live pig,4556,(head),Mainland,Food and Environmental Hygiene Department
2016-01-26,Livestock / Poultry,Live pig,233,(head),Local,Food and Environmental Hygiene Department
2016-01-26,Livestock / Poultry,Live cattle,79,(head),Mainland,Food and Environmental Hygiene Department
2016-01-26,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-26,Livestock / Poultry,Live chicken,10080,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-26,Marine fish,NA,1284,(picul),NA,Fish Marketing Organization
2016-01-26,Freshwater fish,NA,3341,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-26,Vegetables,NA,4811,(picul),NA,Vegetable Marketing Organization
2016-01-26,Vegetables,NA,10560,(picul),NA,Government Wholesale Markets
2016-01-26,Eggs,NA,423e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-27,Livestock / Poultry,Live pig,3990,(head),Mainland,Food and Environmental Hygiene Department
2016-01-27,Livestock / Poultry,Live pig,262,(head),Local,Food and Environmental Hygiene Department
2016-01-27,Livestock / Poultry,Live cattle,78,(head),Mainland,Food and Environmental Hygiene Department
2016-01-27,Livestock / Poultry,Live chicken,11102,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-27,Marine fish,NA,1264,(picul),NA,Fish Marketing Organization
2016-01-27,Freshwater fish,NA,3001,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-27,Vegetables,NA,4707,(picul),NA,Vegetable Marketing Organization
2016-01-27,Vegetables,NA,9966,(picul),NA,Government Wholesale Markets
2016-01-27,Eggs,NA,476e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-28,Livestock / Poultry,Live pig,4e3,(head),Mainland,Food and Environmental Hygiene Department
2016-01-28,Livestock / Poultry,Live pig,215,(head),Local,Food and Environmental Hygiene Department
2016-01-28,Livestock / Poultry,Live cattle,76,(head),Mainland,Food and Environmental Hygiene Department
2016-01-28,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-28,Livestock / Poultry,Live chicken,11860,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-28,Marine fish,NA,1277,(picul),NA,Fish Marketing Organization
