date_morning,food_category,food_item,price_morning,unit,food_origin,provided_by
2015-12-31,Vegetables,Chinese Lettuce,4.3,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-31,Vegetables,Chrysanthemum Garland,7.3,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-31,Vegetables,Chinese Kale,4.8,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-31,Vegetables,European Celery,8.7,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-31,Vegetables,Potato,3.8,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-31,Vegetables,Spinach,6.8,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-31,Vegetables,Water Cress,5.7,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-31,Vegetables,Broccoli,8.8,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-31,Vegetables,Green Cabbage,4.6,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-31,Vegetables,Tomato,5,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-31,Vegetables,Pea Shoot,25.2,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-31,Eggs,Brown-shelled egg (medium) Mainland,0.69,($ / Egg),NA,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets
2015-12-31,Eggs,Brown-shelled egg (medium) USA,0.86,($ / Egg),NA,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets
2016-01-01,Livestock / Poultry,Live pig,1334,($ / Picul),NA,Slaughterhouses
2016-01-01,Livestock / Poultry,Live chicken,41.5,($ / Catty),Mainland,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-01,Livestock / Poultry,Live chicken,41.5,($ / Catty),Local,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-01,Marine fish,Golden thread,53,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-01,Marine fish,Horse head,38,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-01,Marine fish,Yellow croaker,31,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-01,Marine fish,Big eyes,52,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-01,Marine fish,Scads,16,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-01,Marine fish,Breams,53,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-01,Marine fish,Hairtail,37,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-01,Marine fish,Mackerel,49,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-01,Marine fish,Croakers,17,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-01,Marine fish,Filefish,31,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-01,Freshwater fish,Grass carp,16.7,($ / Catty),NA,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets
2016-01-01,Freshwater fish,Big head,16.8,($ / Catty),NA,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets
2016-01-01,Freshwater fish,Mud carp,18.3,($ / Catty),NA,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets
2016-01-01,Vegetables,Flowering Cabbage,4.2,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-01,Vegetables,White Cabbage,4.5,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-01,Vegetables,Chinese Lettuce,4.3,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-01,Vegetables,Chrysanthemum Garland,7.1,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-01,Vegetables,Chinese Kale,4.5,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-01,Vegetables,European Celery,9.2,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
